player_register_id,direction,gap_years,kbo_season,mlb_season,player,kbo_rel_bb_pct,mlb_rel_bb_pct,kbo_rel_era,mlb_rel_era,kbo_rel_h_pct,mlb_rel_h_pct,kbo_rel_hr_pct,mlb_rel_hr_pct,kbo_rel_k_pct,mlb_rel_k_pct,kbo_age,mlb_age,kbo_batters_faced,mlb_batters_faced,cohort,first_kbo,first_mlb,n_kbo,n_mlb
colon-001rom,mlb_to_kbo,1,2010,2009,Román Colón,0.928691537385035,1.1256257521058965,0.8523926847211671,1.1196822367628732,0.9180316865725907,0.9768852712401099,0.5552930182886131,1.1805858064981427,0.7434207597159297,0.7341375260148145,30,29,454.0,220.0,import_returnee,2010,2005,1.0,3.0
crowe-000wil,mlb_to_kbo,2,2024,2022,Wil Crowe,0.7588285960378984,1.4029002294777981,0.7276710146370607,1.1058844046254435,0.9799969780297756,0.9398537842452129,0.4630543066921111,0.8411879541175248,1.3223951598004804,0.9136469429614961,29,27,172.0,332.0,import_returnee,2024,2021,1.0,2.0
cruz--001nel,mlb_to_kbo,2,2005,2003,Nelson Cruz,0.9447005686737966,0.5569591292812773,0.7118378822842896,1.6414739932341507,0.8721578231857288,1.1869314634445953,0.7715575263282919,2.3175594754832343,0.8821252846039987,0.9925353574580168,32,30,346.0,233.0,import_returnee,2005,1999,1.0,5.0
davids000tuc,mlb_to_kbo,2,2025,2023,Tucker Davidson*,0.9917865499266254,0.9369702385352948,0.8468542131665598,1.3779992098678722,1.0152732294245077,1.2225203475740412,0.8887703777067769,0.7976499948008735,1.1426391224782637,0.8576028957317041,29,27,529.0,472.0,import_returnee,2025,2022,1.0,2.0
dean--002pat,mlb_to_kbo,1,2017,2016,Pat Dean*,0.6373974255832664,0.9379065040650406,0.8336401321892392,1.502120762165662,1.0826662120264952,1.2807140379096098,1.0505494505494504,1.425751633986928,1.0554301128983914,0.7891676500265079,28,27,770.0,300.0,import_returnee,2017,2016,2.0,1.0
dejesu001enm,kbo_to_mlb,1,2025,2026,Enmanuel De Jesus*,0.6754688593191752,0.9455282254604246,0.9189489302956071,0.9157661698093985,1.0609614521928687,0.9849510198707858,1.1225719110557646,0.5556204141391241,1.1771227434321032,0.9920981048547509,28,29,712.0,178.0,posted_from_kbo,2024,2026,2.0,1.0
despai000odr,mlb_to_kbo,2,2020,2018,Odrisamer Despaigne,0.8000284142599704,1.1928379690793525,0.9111921872435944,1.6148801178014662,1.0753029555674944,1.2484435997481127,0.8256475538474246,0.7053048629497705,0.9642841062962627,0.8364444638356734,33,31,906.0,376.0,import_returnee,2020,2014,3.0,5.0
dumatr001phi,mlb_to_kbo,2,2010,2008,Phil Dumatrait*,1.2683057272352698,1.3742775692950144,1.792907125254088,1.2194907101686763,1.1887721654099095,0.9968621575553258,1.4005723905723906,0.7671030698910978,0.5723905100830368,0.8453103389242544,28,26,300.0,351.0,import_returnee,2010,2008,1.0,2.0
dumatr001phi,kbo_to_mlb,1,2010,2011,Phil Dumatrait*,1.2683057272352698,1.5733245955193904,1.792907125254088,0.9959779115649026,1.1887721654099095,1.0062398513241624,1.4005723905723906,1.4534035274918402,0.5723905100830368,0.7947314712245371,28,29,300.0,196.0,import_returnee,2010,2008,1.0,2.0
enns--000die,kbo_to_mlb,1,2024,2025,Dietrich Enns*,0.7616626897672649,0.892089862799922,0.8533497808330739,0.9825960762418301,0.9731007773918671,1.1393567193183518,0.8923847703198108,0.9712884955752212,1.1631150705247921,1.1026416533398942,33,34,714.0,400.0,posted_from_kbo,2024,2025,1.0,1.0
