key_mlbam,season,batters_faced,SO,BB,HR,H,ER,R,G,GS,SV,W,L,age,IP
424668,2004,271,44,20,13,75,32,35,50,0,0,2,3,26,62.0
424668,2005,42,1,4,0,13,8,8,5,0,0,0,1,27,8.1
424668,2006,232,30,20,3,55,24,26,55,0,0,2,1,28,54.1
424668,2007,3,0,0,0,0,0,0,1,0,0,0,0,29,1.0
424668,2008,15,3,3,1,4,1,1,4,0,0,1,0,30,3.2
425286,2002,39,5,2,3,14,10,10,2,2,0,0,2,25,7.2
425286,2003,303,34,25,10,81,37,40,12,11,0,2,5,26,65.2
425286,2004,529,59,42,15,138,76,80,25,20,0,6,8,27,118.0
425286,2005,305,33,36,7,74,38,41,23,8,0,1,4,28,65.0
425286,2007,278,35,36,7,72,43,49,18,7,0,2,3,30,59.0
425510,2004,39,9,4,1,10,8,9,2,2,0,0,1,22,7.2
425510,2006,34,2,6,2,10,8,8,4,1,0,0,0,24,6.2
425510,2008,56,11,10,2,13,7,8,13,0,0,0,3,26,11.2
425658,2003,316,64,34,5,58,28,31,72,0,14,1,3,28,73.2
425658,2004,95,13,13,5,21,14,15,18,0,0,1,1,29,21.0
425658,2005,144,44,14,4,32,8,10,22,0,0,0,2,30,33.1
425658,2007,76,7,6,2,18,10,10,10,0,1,0,0,32,17.1
425658,2008,344,61,22,9,86,31,33,48,0,0,4,1,33,78.2
429440,2003,85,14,7,3,28,10,10,9,2,0,2,1,20,18.1
429440,2004,228,31,18,15,72,48,49,10,10,0,0,9,21,46.1
429440,2005,5,1,2,1,2,4,4,1,0,0,0,0,22,0.1
429440,2006,182,28,9,7,45,20,20,11,5,0,3,4,23,42.2
429440,2007,437,62,28,18,110,57,61,32,12,0,8,4,24,102.0
429440,2008,221,32,21,8,58,32,34,17,6,0,1,3,25,48.0
429440,2009,299,39,28,4,76,40,41,26,6,0,0,4,26,65.1
429440,2011,11,1,1,0,5,2,2,1,0,0,0,0,28,2.0
429440,2012,105,18,8,3,23,14,14,6,6,0,3,1,29,25.0
429440,2013,174,22,16,12,52,30,32,16,0,0,0,2,30,36.0
429708,2010,3,1,0,0,0,0,0,1,0,0,0,0,26,1.0
429714,2004,284,38,26,6,88,56,56,14,10,0,0,8,23,59.1
429714,2005,160,23,17,2,36,23,23,7,7,0,2,2,24,35.2
429714,2006,388,54,42,10,94,52,68,24,16,0,0,6,25,83.1
429714,2007,48,8,4,0,18,12,12,9,1,0,2,1,26,8.2
429714,2008,540,86,84,12,122,70,70,102,0,0,8,8,27,120.0
429714,2009,61,15,7,1,15,8,8,14,0,0,1,1,28,13.2
429714,2010,157,44,27,4,25,14,14,31,0,0,2,0,29,33.2
