key_mlbam,season,PA,AB,H,2B,3B,HR,SO,BB,IBB,HBP,SF,SH,TB,RBI,SB,CS,R,G,GIDP,age
664057,2019,37,30,11,1,1,0,11,6,0,1,0,0,14,0,0,1,4,30,1,25
664057,2020,47,41,15,7,1,2,11,5,0,1,0,0,30,12,2,0,11,15,0,26
664057,2021,213,192,44,6,0,5,61,13,2,5,1,2,65,23,1,1,22,109,3,27
664057,2023,40,37,7,1,0,0,8,2,0,1,0,0,8,1,4,1,4,25,0,29
664074,2021,7,6,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,15,0,27
664314,2020,3,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,22
664314,2021,25,20,6,2,0,1,6,5,0,0,0,0,11,2,1,0,3,11,0,23
664314,2022,35,31,3,0,0,0,13,3,0,1,0,0,3,1,2,0,4,17,0,24
664314,2023,71,61,14,3,1,0,20,7,0,2,1,0,19,8,3,0,5,19,0,25
664314,2024,111,98,17,6,2,3,41,11,0,1,0,1,36,11,2,1,11,36,2,26
664641,2017,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,32,0,28
664942,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30
666560,2016,244,215,41,9,1,12,80,21,0,5,3,0,88,24,1,0,28,62,3,29
666561,2017,57,52,8,1,0,1,15,5,0,0,0,0,12,5,0,0,2,18,1,29
667498,2019,11,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,23
667498,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,25
669008,2021,6,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,3,1,26
669008,2022,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,27
669145,2021,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,26
669374,2019,348,314,95,23,2,19,107,25,1,8,1,0,179,49,9,3,51,84,6,22
669374,2020,246,217,46,4,0,13,85,16,2,11,2,0,89,32,3,2,30,59,7,23
669374,2021,197,173,29,9,1,4,77,14,0,7,1,2,52,19,3,0,16,61,6,24
669374,2022,266,234,53,8,1,14,111,23,0,8,1,0,105,32,5,2,34,80,3,25
669374,2024,27,27,4,0,0,0,10,0,0,0,0,0,4,1,0,1,1,10,0,27
669374,2025,21,18,4,1,0,0,7,0,0,3,0,0,5,1,0,0,3,8,0,28
669391,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24
669952,2021,16,15,0,0,0,0,11,1,0,0,0,0,0,0,0,0,1,21,0,26
669952,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,29
670092,2024,29,25,3,0,0,0,6,4,0,0,0,0,3,1,1,0,3,12,1,28
670092,2025,43,41,6,2,0,1,13,2,0,0,0,0,11,2,0,0,5,25,2,29
670351,2021,184,168,35,14,0,6,50,15,0,1,0,0,67,15,2,1,26,61,2,28
670351,2022,57,56,7,2,0,0,19,0,0,1,0,0,9,1,0,0,1,22,1,29
673490,2021,298,267,54,12,2,8,71,22,1,4,3,2,94,34,6,1,27,117,6,25
673490,2022,582,517,130,29,3,11,100,51,0,7,4,3,198,59,12,2,58,150,9,26
